cust_id,cust_name,cust_email,cust_phone,cust_addr,cust_city,cust_state,cust_country,cust_postal,cust_seg,acq_date,cust_status,ltv_calc,cust_rep,last_purch_dt
CUST00001,Mary Mitchell,mary_mitchell@company.com,6743039928,7024 Elm Dr,Phoenix,IN,France,M2L 6T5,SMB,2022-07-18,Inactive,26857.78,REP025,2023-03-25
CUST00002,Prime Industries,prime.industries@example.org,(489) 384-8428,2903 Hill Rd,Philadelphia,NJ,USA,93886,RET,2023-01-11,Active,16281.71,REP050,2024-08-24
CUST00003,Joseph Williams,joseph_williams@yahoo.com,3698648019,6030 Cedar Blvd,Indianapolis,NY,USA,2429,MID,2022-10-09,Churned,21165.78,REP005,2023-11-23
CUST00004,Joshua Robinson,,+1-214-400-8123,8301 Maple Ave,Boston,MD,China,E6Y 3R9,SMB,2023-12-20,Pending,24481.42,REP008,2024-04-26
CUST00005,Nancy Thomas,nancy.thomas@example.org,+1-316-652-4295,7277 Hill Pl,Houston,KS,USA,87110,RET,2021-04-29,Inactive,11088.85,REP005,2022-09-04
CUST00006,Patricia Anderson,patricia.anderson@hotmail.com,+1-926-516-4119,7039 Washington Pl,Detroit,AR,USA,22899,SMB,2021-05-19,Churned,17031.2,REP007,2021-07-22
CUST00007,Pinnacle Systems,psystems@gmail.com,,341 Oak Rd,Philadelphia,NE,USA,62565,SMB,2021-10-15,Inactive,207.55,REP025,2024-02-26
CUST00008,Spectrum Brands,brandss@yahoo.com,162-865-6138,1031 Hill Ave,Philadelphia,CA,USA,40828,NPO,2024-11-27,Suspended,44525.34,REP016,2025-03-29
CUST00009,John Flores,john_flores@outlook.com,+1-109-569-2638,2270 Elm Ave,San Diego,MS,USA,81200,GOV,2021-06-17,Churned,49362.93,REP042,2023-10-23
CUST00010,Kevin Scott,kevin.scott@gmail.com,9661522512,4633 Main St,Austin,WY,USA,31178,IND,2022-09-06,Active,21441.58,REP001,2024-07-16
CUST00011,Tech Innovations,tinnovations@outlook.com,,2762 Maple Way,New York,ID,USA,63964,STR,2023-01-27,Pending,39389.99,REP007,2024-09-14
CUST00012,John Walker,john.walker@yahoo.com,+1-756-621-7548,552 Oak Dr,Philadelphia,PA,Germany,T7L,EDU,2022-04-01,Churned,49213.37,REP008,2023-05-14
CUST00013,Andrew Gonzalez,andrew.gonzalez#company.com,+1-837-407-9308,6692 Pine Blvd,San Antonio,NE,USA,32810,WHS,2022-06-06,Churned,20363.15,REP001,2022-09-04
CUST00014,Jessica Ramirez,jessica.ramirez@yahoo.com,(390) 627-6491,857 Cedar Pl,Washington,WY,USA,92544,WHS,2024-04-02,Suspended,34848.08,REP032,2025-02-06
CUST00015,Elizabeth Adams,eadams@example.org,8735539270,9076 Lake Blvd,Detroit,NM,USA,93579,GOV,2024-11-09,Active,26112.86,REP041,2024-11-10
CUST00016,Spectrum Brands,spectrum_brands@yahoo.com,1633117883,9669 Main Way,Charlotte,AL,Germany,N9X 9Z4,IND,2022-08-09,Churned,21848.22,REP002,2023-04-06
CUST00017,Kevin Baker,kbaker@company.com,5654346529,4658 Washington Dr,Chicago,NM,USA,55870,STR,2023-04-09,Churned,39083.53,REP042,2023-09-25
CUST00018,ABC Corp,corpa@yahoo.com,4196897149,3349 Oak Rd,Houston,VT,USA,88697,ENT,2021-02-11,Active,28340.03,REP003,2024-08-06
CUST00019,Sandra Nelson,sandra_nelson#gmail.com,7663769817,,Austin,KS,Canada,O4Y 8S7,EDU,2023-01-29,Churned,ERROR,REP012,2023-04-09
CUST00020,Daniel Taylor,daniel_taylor@business.net,1954014630,4086 Pine Ln,Charlotte,OK,USA,82140,EDU,2022-11-29,Churned,22741.89,REP020,2023-09-11
CUST00021,Global Solutions,solutionsg@company.com,(952) 298-5853,9166 Pine Blvd,Boston,WI,USA,85243,GOV,2022-10-09,Inactive,22079.39,REP012,2023-02-08
CUST00022,Thomas Walker,walkert@yahoo.com,5615535871,5103 Main Ave,Portland,IN,USA,20641,MID,2021-08-22,Churned,27644.41,REP011,2022-01-02
CUST00023,Spectrum Brands,spectrum.brands@example.org,(906) 910-4241,1077 Maple Dr,Washington,WV,Germany,O5W 7I9,RET,2023-08-21,Active,4114.05,REP003,2024-06-14
CUST00024,Deborah Lee,dlee@example.org,3842858141,1594 Lake Ln,Columbus,MI,USA,31079,EDU,2024-05-21,Active,24823.9,REP043,2024-09-26
CUST00025,Timothy Scott,tscott@example.org,155-292-9494,4475 Hill Blvd,San Jose,NH,Japan,U4W 3J9,SMB,2021-03-17,Inactive,4751.14,REP008,2023-10-04
CUST00026,Linda Adams,linda.adams@example.org,+1-984-171-5526,8418 Pine St,San Jose,WA,USA,96499,IND,2021-11-12,Suspended,22382.71,REP031,2024-08-28
CUST00027,Emily Carter,emily.carter@yahoo.com,+1-495-779-3492,1744 Lake Ave,Indianapolis,NJ,USA,95823,MID,2024-01-18,Active,ERROR,REP017,2024-07-29
CUST00028,Brian Sanchez,brian_sanchez@business.net,5442002646,2825 Pine St,Los Angeles,MA,USA,59131,NPO,2024-08-23,Active,26605.2,REP037,2024-09-12
CUST00029,Susan Hernandez,hernandezs@yahoo.com,4537015901,4197 Lake Dr,San Antonio,MO,Canada,S6S 5W5,SMB,2021-12-25,Churned,32945.67,REP018,2022-06-04
CUST00030,XYZ Inc,xyz.inc@yahoo.com,+1-134-693-6977,5452 Washington Blvd,San Antonio,FL,USA,57953,RET,2023-10-15,Active,13699.11,REP011,2024-08-03
